,population,female,male,total_deaths,total_cases,clusters,cluster
1096,53517,27001,26516,125.0,22887.0,0,pink
1097,46786,24173,22613,193.0,16863.0,0,pink
1098,18063,9137,8926,105.0,7494.0,0,pink
1099,18246,8969,9277,67.0,7142.0,0,pink
1100,25500,12975,12525,144.0,11884.0,0,pink
1101,12350,6301,6049,48.0,3664.0,0,pink
1102,14344,7267,7077,51.0,5122.0,0,pink
1103,8637,4399,4238,48.0,2760.0,0,pink
1104,14802,7205,7597,63.0,5441.0,0,pink
1105,126427,64554,61873,427.0,55011.0,0,pink
1106,12019,6154,5865,71.0,5080.0,0,pink
1107,20609,10455,10154,106.0,8338.0,0,pink
1108,13155,6698,6457,52.0,4906.0,0,pink
1109,36089,18421,17668,234.0,18441.0,0,pink
1110,7223,3627,3596,30.0,3572.0,0,pink
1111,26097,13533,12564,62.0,9538.0,0,pink
1112,62568,32077,30491,315.0,19034.0,0,pink
1113,25661,11023,14638,147.0,9156.0,0,pink
1114,121176,61178,59998,321.0,45053.0,0,pink
1115,22714,11709,11005,80.0,6866.0,0,pink
1116,40882,20275,20607,223.0,14371.0,0,pink
1117,36769,18057,18712,150.0,11265.0,0,pink
1118,13668,7145,6523,119.0,5160.0,0,pink
1119,126131,63782,62349,555.0,50838.0,0,pink
1120,248361,130533,117828,1290.0,88390.0,0,pink
1121,200182,102579,97603,747.0,67922.0,0,pink
1122,9996,4719,5277,57.0,4675.0,0,pink
1123,6868,3511,3357,12.0,1554.0,0,pink
1124,9893,4679,5214,63.0,3237.0,0,pink
1125,16153,6948,9205,85.0,4281.0,0,pink
1126,20021,9811,10210,93.0,6505.0,0,pink
1127,27216,14044,13172,148.0,9803.0,0,pink
1128,444094,231316,212778,1435.0,143712.0,1,purple
1129,7225,2852,4373,38.0,3399.0,0,pink
1130,19499,8784,10715,183.0,8502.0,0,pink
1131,33636,16494,17142,166.0,10386.0,0,pink
1132,20322,10341,9981,198.0,8934.0,0,pink
1133,22348,9690,12658,100.0,7610.0,0,pink
1134,72691,37183,35508,281.0,23912.0,0,pink
1135,32956,16295,16661,162.0,11749.0,0,pink
1136,15926,7846,8080,87.0,5689.0,0,pink
1137,435300,224125,211175,1474.0,142048.0,1,purple
1138,31467,15877,15590,179.0,8303.0,0,pink
1139,14949,7219,7730,74.0,5161.0,0,pink
1140,240091,122922,117169,551.0,78978.0,0,pink
1141,98214,49953,48261,419.0,34747.0,0,pink
1142,47356,24315,23041,168.0,15476.0,0,pink
1143,138111,70275,67836,494.0,47090.0,0,pink
1144,11472,5764,5708,66.0,3991.0,0,pink
1145,25992,13548,12444,145.0,8528.0,0,pink
1146,38963,20341,18622,193.0,13089.0,0,pink
1147,389648,204271,185377,1221.0,113846.0,0,pink
1148,156075,81222,74853,868.0,64683.0,0,pink
1149,23373,11756,11617,57.0,7984.0,0,pink
1150,22158,11544,10614,101.0,8026.0,0,pink
